Date,Close Price,log.return
2017-01-27,918.56,0.003773877
2017-01-28,920.28,0.001870745
2017-01-29,914.04,-0.006803637
2017-01-30,920.24,0.006760171
2017-01-31,967.67,0.050256614
2017-02-01,987.35,0.020133466
2017-02-02,1007.79,0.020490507
2017-02-03,1018.11,0.010188153
2017-02-04,1033.65,0.01514826
2017-02-05,1013.99,-0.019203184
2017-02-06,1024.61,0.010419009
2017-02-07,1052.54,0.026894238
2017-02-08,1054.34,0.001708688
2017-02-09,988.95,-0.064026484
2017-02-10,993.08,0.004167451
2017-02-11,1010,0.016894385
2017-02-12,999.51,-0.010440451
2017-02-13,996.86,-0.00265482
2017-02-14,1009.25,0.012352421
2017-02-15,1009.12,-0.000128817
2017-02-16,1034.08,0.024433479
2017-02-17,1053.12,0.018245044
2017-02-18,1058.41,0.005010595
2017-02-19,1052.82,-0.005295504
2017-02-20,1083.24,0.028484272
2017-02-21,1123.66,0.036634664
2017-02-22,1122.19,-0.001309081
2017-02-23,1178.38,0.048858481
2017-02-24,1180.92,0.002153182
2017-02-25,1151.58,-0.025158883
2017-02-26,1179.97,0.024354102
2017-02-27,1194.28,0.012054479
2017-02-28,1190.89,-0.002842567
2017-03-01,1230.02,0.032329503
2017-03-02,1260.92,0.024811184
2017-03-03,1290.79,0.023412821
2017-03-04,1267.68,-0.018065976
2017-03-05,1277.68,0.007857475
2017-03-06,1280.87,0.002493601
2017-03-07,1232.43,-0.038551704
2017-03-08,1150.48,-0.068808584
2017-03-09,1191.81,0.035293913
2017-03-10,1117.02,-0.064808735
2017-03-11,1181.64,0.056238879
2017-03-12,1229.5,0.039704279
2017-03-13,1243.24,0.011113292
2017-03-14,1246.31,0.00246631
2017-03-15,1259.6,0.010607025
2017-03-16,1172.91,-0.07130637
2017-03-17,1070.13,-0.091707704
2017-03-18,970.6,-0.097620978
2017-03-19,1017.8,0.047484277
2017-03-20,1041.34,0.02286491
2017-03-21,1115.04,0.068381933
2017-03-22,1037.44,-0.072134139
2017-03-23,1029.95,-0.007245883
2017-03-24,935.95,-0.09570348
2017-03-25,964.69,0.03024475
2017-03-26,965.23,0.000559609
2017-03-27,1040.49,0.07508062
2017-03-28,1044.25,0.003607168
2017-03-29,1040.39,-0.003703282
2017-03-30,1037.53,-0.002752754
2017-03-31,1079.75,0.039886644
2017-04-01,1089.51,0.008998521
2017-04-02,1098.78,0.00847242
2017-04-03,1147.63,0.043498473
2017-04-04,1143.75,-0.003386609
2017-04-05,1135,-0.007679687
2017-04-06,1190.6,0.047824731
2017-04-07,1193.02,0.002030526
2017-04-08,1184.82,-0.006897043
2017-04-09,1210.05,0.021070817
2017-04-10,1213.34,0.002715206
2017-04-11,1224.77,0.009376184
2017-04-12,1216.5,-0.006775188
2017-04-13,1178.53,-0.031709984
2017-04-14,1183.44,0.004157552
2017-04-15,1180.7,-0.002317969
2017-04-16,1184.79,0.003458061
2017-04-17,1203.73,0.015859526
2017-04-18,1217.6,0.011456639
2017-04-19,1226.94,0.007641557
2017-04-20,1255.4,0.022930982
2017-04-21,1257.13,0.001377098
2017-04-22,1244.37,-0.010201967
2017-04-23,1248.22,0.003089159
2017-04-24,1248.32,8.01109E-05
2017-04-25,1263.54,0.012118658
2017-04-26,1284.84,0.016716892
2017-04-27,1329.19,0.033935537
2017-04-28,1320.05,-0.006900119
2017-04-29,1327.04,0.005281283
2017-04-30,1347.96,0.01564144
2017-05-01,1402.08,0.03936451
2017-05-02,1443.68,0.029238561
2017-05-03,1492,0.032922093
2017-05-04,1515.63,0.015713692
2017-05-05,1512.21,-0.002259037
2017-05-06,1548.29,0.023578939
2017-05-07,1555.47,0.004626655
2017-05-08,1639.32,0.052503771
2017-05-09,1706.93,0.040414914
2017-05-10,1756.8,0.028797537
2017-05-11,1807.37,0.028378778
2017-05-12,1676.99,-0.07487223
2017-05-13,1759.96,0.048290562
2017-05-14,1772.42,0.007054763
2017-05-15,1697.38,-0.043259959
2017-05-16,1718.2,0.012191345
2017-05-17,1802.16,0.047708714
2017-05-18,1887.33,0.046177186
2017-05-19,1968.1,0.041905478
2017-05-20,2051.73,0.041614729
2017-05-21,2055.62,0.001894166
2017-05-22,2139.03,0.03977495
2017-05-23,2291.48,0.068845442
2017-05-24,2476.3,0.077567614
2017-05-25,2357.5,-0.049163775
2017-05-26,2247.48,-0.047792147
2017-05-27,2106.31,-0.064871987
2017-05-28,2207.58,0.046959292
2017-05-29,2289.87,0.036598154
2017-05-30,2197.23,-0.041297571
2017-05-31,2330.23,0.058769499
2017-06-01,2452.18,0.05101045
2017-06-02,2517.41,0.02625317
2017-06-03,2555.65,0.015075999
2017-06-04,2552.81,-0.001111881
2017-06-05,2736.59,0.069517907
2017-06-06,2914.08,0.062841541
2017-06-07,2694.22,-0.078445423
2017-06-08,2825.03,0.047410246
2017-06-09,2826.7,0.00059097
2017-06-10,2942.34,0.04009523
2017-06-11,3018.54,0.025568088
2017-06-12,2682.59,-0.117990525
2017-06-13,2738.93,0.020784587
2017-06-14,2494.48,-0.093487043
2017-06-15,2456.92,-0.015171758
2017-06-16,2528.1,0.028559499
2017-06-17,2664,0.05236072
2017-06-18,2576.17,-0.033524953
2017-06-19,2641.66,0.025103708
2017-06-20,2778.83,0.050622468
2017-06-21,2712.16,-0.02428461
2017-06-22,2740.79,0.010500835
